模型名称,准确率,精确率,召回率,F1分数,宏观AUC,类别0_F1,类别0_AUC,类别1_F1,类别1_AUC,类别2_F1,类别2_AUC,类别3_F1,类别3_AUC
MLP_Baseline,0.4914,0.5375,0.4914,0.5009,0.0,0.1745,0.0,0.0,0.0,0.3886,0.0,0.6626,0.0
Feature_Interaction_MLP,0.5073,0.5322,0.5073,0.4969,0.0,0.135,0.0,0.0,0.0,0.4043,0.0,0.6671,0.0
Light_CNN_MLP,0.4954,0.503,0.4954,0.4868,0.0,0.1313,0.0,0.0,0.0,0.3663,0.0,0.6625,0.0
