model_name,feature_file,feature_name,best_val_auc,best_epoch,total_time,final_val_auc,final_val_acc,final_val_f1,test_auc,test_acc,test_f1,test_sensitivity@90%spec
BaselineMultimodal,MLP_Baseline_features.csv,MLP_Baseline,0.9523809523809524,19,1.573146104812622,0.7142857142857144,0.4,0.4,0.7857142857142857,0.2727272727272727,0.301010101010101,0.42857142857142855
AttentionMultimodal,MLP_Baseline_features.csv,MLP_Baseline,0.9047619047619048,13,1.9375054836273193,0.6666666666666667,0.5,0.4666666666666666,0.3214285714285714,0.45454545454545453,0.4242424242424242,0.14285714285714285
EnhancedMMTM,MLP_Baseline_features.csv,MLP_Baseline,0.33333333333333337,3,1.3744471073150635,0.14285714285714288,0.5,0.5164835164835165,0.21428571428571427,0.45454545454545453,0.45454545454545453,0.14285714285714285
